Test id,File Size,Block Size,Workload Pattern of test,Workload Test Time Sec,Workload Ramp-up Test Time Sec,Start Delay Sec,Thread / Numjobs,OIO / IODepth,Target devices,NUMA nodes
1,,4KB,100% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1,
2,,4KB,60% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1,
3,,4KB,30% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1,
4,,4KB,0% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1,
5,,4KB,100% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1,
6,,4KB,60% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1,
7,,4KB,30% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1,
8,,4KB,0% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1,
9,,4KB,100% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1,
10,,4KB,60% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1,
11,,4KB,30% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1,
12,,4KB,0% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1,
13,,4KB,100% Seq 0% Read,60,10,0,1,1,/dev/nvme0n1,
14,,4KB,60% Seq 0% Read,60,10,0,1,1,/dev/nvme0n1,
15,,4KB,30% Seq 0% Read,60,10,0,1,1,/dev/nvme0n1,
16,,4KB,0% Seq 0% Read,60,10,0,1,1,/dev/nvme0n1,
17,,8KB,100% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1,
18,,8KB,60% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1,
19,,8KB,30% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1,
20,,8KB,0% Seq 100% Read,60,10,0,1,1,/dev/nvme0n1,
21,,8KB,100% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1,
22,,8KB,60% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1,
23,,8KB,30% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1,
24,,8KB,0% Seq 60% Read,60,10,0,1,1,/dev/nvme0n1,
25,,8KB,100% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1,
26,,8KB,60% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1,
27,,8KB,30% Seq 30% Read,60,10,0,1,1,/dev/nvme0n1,
