Test id,File Size,Block Size,Workload Pattern of test,Workload Test Time Sec,Workload Ramp-up Test Time Sec,Start Delay Sec,Thread / Numjobs,OIO / IODepth,Target devices,NUMA nodes
1,128g,4KB,100% Seq 100% Read,60,10,0,1,1,/dev/null:/dev/null,
2,128g,4KB,60% Seq 100% Read,60,10,0,1,1,/dev/null:/dev/null,
3,128g,4KB,30% Seq 100% Read,60,10,0,1,1,/dev/null:/dev/null,
4,128g,4KB,0% Seq 100% Read,60,10,0,1,1,/dev/null:/dev/null,
5,128g,4KB,100% Seq 60% Read,60,10,0,1,1,/dev/null:/dev/null,
6,128g,4KB,60% Seq 60% Read,60,10,0,1,1,/dev/null:/dev/null,
7,128g,4KB,30% Seq 60% Read,60,10,0,1,1,/dev/null:/dev/null,
8,128g,4KB,0% Seq 60% Read,60,10,0,1,1,/dev/null:/dev/null,
9,128g,4KB,100% Seq 30% Read,60,10,0,1,1,/dev/null:/dev/null,
10,128g,4KB,60% Seq 30% Read,60,10,0,1,1,/dev/null:/dev/null,
11,128g,4KB,30% Seq 30% Read,60,10,0,1,1,/dev/null:/dev/null,
12,128g,4KB,0% Seq 30% Read,60,10,0,1,1,/dev/null:/dev/null,
13,128g,4KB,100% Seq 0% Read,60,10,0,1,1,/dev/null:/dev/null,
14,128g,4KB,60% Seq 0% Read,60,10,0,1,1,/dev/null:/dev/null,
15,128g,4KB,30% Seq 0% Read,60,10,0,1,1,/dev/null:/dev/null,
16,128g,4KB,0% Seq 0% Read,60,10,0,1,1,/dev/null:/dev/null,
17,64g,4KB,100% Seq 100% Read,60,10,0,2,1,/dev/null:/dev/null,
18,64g,4KB,60% Seq 100% Read,60,10,0,2,1,/dev/null:/dev/null,
19,64g,4KB,30% Seq 100% Read,60,10,0,2,1,/dev/null:/dev/null,
20,64g,4KB,0% Seq 100% Read,60,10,0,2,1,/dev/null:/dev/null,
21,64g,4KB,100% Seq 60% Read,60,10,0,2,1,/dev/null:/dev/null,
22,64g,4KB,60% Seq 60% Read,60,10,0,2,1,/dev/null:/dev/null,
23,64g,4KB,30% Seq 60% Read,60,10,0,2,1,/dev/null:/dev/null,
24,64g,4KB,0% Seq 60% Read,60,10,0,2,1,/dev/null:/dev/null,
25,64g,4KB,100% Seq 30% Read,60,10,0,2,1,/dev/null:/dev/null,
26,64g,4KB,60% Seq 30% Read,60,10,0,2,1,/dev/null:/dev/null,
27,64g,4KB,30% Seq 30% Read,60,10,0,2,1,/dev/null:/dev/null,
28,64g,4KB,0% Seq 30% Read,60,10,0,2,1,/dev/null:/dev/null,
29,64g,4KB,100% Seq 0% Read,60,10,0,2,1,/dev/null:/dev/null,
30,64g,4KB,60% Seq 0% Read,60,10,0,2,1,/dev/null:/dev/null,
31,64g,4KB,30% Seq 0% Read,60,10,0,2,1,/dev/null:/dev/null,
32,64g,4KB,0% Seq 0% Read,60,10,0,2,1,/dev/null:/dev/null,
33,32g,4KB,100% Seq 100% Read,60,10,0,4,1,/dev/null:/dev/null,
34,32g,4KB,60% Seq 100% Read,60,10,0,4,1,/dev/null:/dev/null,
35,32g,4KB,30% Seq 100% Read,60,10,0,4,1,/dev/null:/dev/null,
36,32g,4KB,0% Seq 100% Read,60,10,0,4,1,/dev/null:/dev/null,
37,32g,4KB,100% Seq 60% Read,60,10,0,4,1,/dev/null:/dev/null,
38,32g,4KB,60% Seq 60% Read,60,10,0,4,1,/dev/null:/dev/null,
39,32g,4KB,30% Seq 60% Read,60,10,0,4,1,/dev/null:/dev/null,
40,32g,4KB,0% Seq 60% Read,60,10,0,4,1,/dev/null:/dev/null,
41,32g,4KB,100% Seq 30% Read,60,10,0,4,1,/dev/null:/dev/null,
42,32g,4KB,60% Seq 30% Read,60,10,0,4,1,/dev/null:/dev/null,
43,32g,4KB,30% Seq 30% Read,60,10,0,4,1,/dev/null:/dev/null,
44,32g,4KB,0% Seq 30% Read,60,10,0,4,1,/dev/null:/dev/null,
45,32g,4KB,100% Seq 0% Read,60,10,0,4,1,/dev/null:/dev/null,
46,32g,4KB,60% Seq 0% Read,60,10,0,4,1,/dev/null:/dev/null,
47,32g,4KB,30% Seq 0% Read,60,10,0,4,1,/dev/null:/dev/null,
48,32g,4KB,0% Seq 0% Read,60,10,0,4,1,/dev/null:/dev/null,
49,16g,4KB,100% Seq 100% Read,60,10,0,8,1,/dev/null:/dev/null,
50,16g,4KB,60% Seq 100% Read,60,10,0,8,1,/dev/null:/dev/null,
51,16g,4KB,30% Seq 100% Read,60,10,0,8,1,/dev/null:/dev/null,
52,16g,4KB,0% Seq 100% Read,60,10,0,8,1,/dev/null:/dev/null,
